# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4479.9000 M138 2000000 1 428.9000 p7 p32 292 N p7->p32
4484.1000 M143 2000000 2 290.1000 p43 p22 295 N p43->p38->p22
4486.9000 M147 2000000 2 171.9000 p30 p14 297 N p30->p26->p14
4494.6000 M132 2000000 2 609.6000 p47 p37 289 N p47->p7->p37
4496.3000 M150 2000000 3 88.3000 p42 p36 298 N p42->p40->p6->p36
4531.7000 M153 2000000 4 31.7000 p12 p1 299 N p12->p41->p3->p24->p1
4556.8000 M145 2000000 1 300.8000 p2 p13 294 N p2->p13
4569.1000 M155 2000000 3 16.1000 p36 p9 299 N p36->p16->p15->p9
4576.4000 M146 2000000 2 295.4000 p43 p3 295 N p43->p40->p3
4607.9000 M151 2000000 2 165.9000 p22 p47 297 N p22->p41->p47
4632.1000 M135 2000000 2 666.1000 p36 p45 288 N p36->p23->p45
4698.4000 M152 2000000 1 224.4000 p3 p38 296 N p3->p38
4835.4000 M159 2000000 1 168.4000 p28 p40 297 N p28->p40
4866.3000 M162 2000000 2 121.3000 p24 p12 297 N p24->p1->p12
4875.2000 M118 2000000 2 1415.2000 p26 p10 276 N p26->p16->p10
4902.6000 M154 2000000 2 375.6000 p42 p43 293 N p42->p40->p43
4945.4000 M156 2000000 1 359.4000 p7 p24 294 N p7->p24
4951.0000 M166 2000000 1 83.0000 p3 p24 298 N p3->p24
5047.0000 M172 2000000 1 4.0000 p32 p26 299 N p32->p26
5077.5000 M157 2000000 1 466.5000 p3 p2 292 N p3->p2
5122.0000 M148 2000000 1 777.0000 p0 p2 287 N p0->p2
5143.6000 M163 2000000 2 372.6000 p19 p30 293 N p19->p49->p30
5151.3000 M170 2000000 2 166.3000 p16 p38 297 N p16->p36->p38
5171.9000 M128 2000000 2 1402.9000 p18 p11 276 N p18->p10->p11
5175.0000 M176 2000000 1 4.0000 p22 p3 299 N p22->p3
5239.0000 M178 2000000 1 4.0000 p36 p5 299 N p36->p5
5241.5000 M177 2000000 3 36.5000 p31 p6 299 N p31->p49->p1->p6
5255.8000 M117 2000000 1 1825.8000 p38 p2 269 N p38->p2
5259.1000 M164 2000000 2 454.1000 p24 p33 292 N p24->p1->p33
5275.8000 M108 2000000 1 2118.8000 p5 p17 264 N p5->p17
5278.0000 M167 2000000 2 377.0000 p44 p25 293 N p44->p1->p25
5373.4000 M137 2000000 1 1352.4000 p22 p29 277 N p22->p29
5531.0000 M188 2000000 1 4.0000 p8 p34 299 N p8->p34
5543.1000 M169 2000000 2 583.1000 p27 p18 290 N p27->p17->p18
5547.1000 M174 2000000 1 437.1000 p17 p18 292 N p17->p18
5589.0000 M190 2000000 1 4.0000 p41 p38 299 N p41->p38
5600.1000 M173 2000000 2 523.1000 p37 p21 291 N p37->p9->p21
5606.5000 M181 2000000 1 282.5000 p26 p10 295 N p26->p10
5630.3000 M139 2000000 1 1550.3000 p3 p33 274 N p3->p33
5644.2000 M186 2000000 2 181.2000 p31 p23 296 N p31->p32->p23
5653.6000 M187 2000000 2 159.6000 p38 p9 297 N p38->p25->p9
5663.6000 M182 2000000 1 314.6000 p29 p44 294 N p29->p44
5709.1000 M194 2000000 4 16.1000 p33 p21 299 N p33->p27->p25->p9->p21
5767.8000 M185 2000000 2 333.8000 p24 p13 294 N p24->p37->p13
5810.0000 M198 2000000 1 4.0000 p29 p18 299 N p29->p18
5838.6000 M165 2000000 2 1002.6000 p0 p13 283 N p0->p36->p13
5882.8000 M199 2000000 2 46.8000 p40 p14 299 N p40->p11->p14
5946.4000 M106 2000000 2 2848.4000 p24 p5 252 N p24->p10->p5
5950.4000 M168 2000000 1 1021.4000 p5 p10 282 N p5->p10
5978.6000 M141 2000000 1 1843.6000 p5 p43 269 N p5->p43
5997.2000 M149 2000000 1 1619.2000 p5 p20 273 N p5->p20
6017.2000 M200 2000000 2 147.2000 p28 p22 297 N p28->p42->p22
6038.1000 M203 2000000 3 81.1000 p35 p2 298 N p35->p10->p33->p2
6049.7000 M201 2000000 2 146.7000 p22 p38 297 N p22->p29->p38
6107.8000 M191 2000000 1 497.8000 p32 p3 291 N p32->p3
6111.8000 M197 2000000 1 330.8000 p3 p32 294 N p3->p32
6118.2000 M205 2000000 2 103.2000 p1 p10 298 N p1->p38->p10
6198.1000 M171 2000000 1 1188.1000 p8 p4 280 N p8->p4
6237.0000 M212 2000000 1 4.0000 p12 p40 299 N p12->p40
6281.1000 M213 2000000 3 16.1000 p6 p0 299 N p6->p1->p30->p0
6366.8000 M192 2000000 1 731.8000 p6 p32 287 N p6->p32
6385.7000 M206 2000000 2 344.7000 p15 p10 294 N p15->p19->p10
6461.7000 M215 2000000 2 141.7000 p12 p18 297 N p12->p48->p18
6480.0000 M184 2000000 1 1080.0000 p14 p48 281 N p14->p48
6489.5000 M209 2000000 2 351.5000 p21 p25 294 N p21->p29->p25
6502.0000 M221 2000000 1 4.0000 p28 p6 299 N p28->p6
6547.6000 M220 2000000 2 83.6000 p27 p37 298 N p27->p23->p37
6587.3000 M207 2000000 1 512.3000 p24 p34 291 N p24->p34
6648.8000 M225 2000000 1 20.8000 p42 p12 299 N p42->p12
6656.6000 M219 2000000 2 219.6000 p11 p13 296 N p11->p10->p13
6689.2000 M218 2000000 1 286.2000 p27 p24 295 N p27->p24
6691.7000 M180 2000000 1 1398.7000 p15 p14 276 N p15->p14
6709.4000 M214 2000000 2 415.4000 p39 p1 293 N p39->p36->p1
6738.5000 M175 2000000 1 1597.5000 p25 p43 273 N p25->p43
6738.8000 M208 2000000 1 629.8000 p35 p36 289 N p35->p36
6755.3000 M160 2000000 1 2061.3000 p15 p12 265 N p15->p12
6853.6000 M211 2000000 1 654.6000 p2 p34 289 N p2->p34
6905.8000 M183 2000000 2 1531.8000 p6 p35 274 N p6->p0->p35
6917.2000 M226 2000000 1 256.2000 p36 p5 295 N p36->p5
6962.0000 M231 2000000 1 154.0000 p36 p26 297 N p36->p26
6965.0000 M236 2000000 1 4.0000 p4 p22 299 N p4->p22
6966.3000 M216 2000000 1 616.3000 p23 p24 289 N p23->p24
7032.3000 M210 2000000 1 860.3000 p37 p36 285 N p37->p36
7052.8000 M224 2000000 1 455.8000 p39 p22 292 N p39->p22
7064.0000 M202 2000000 2 1134.0000 p31 p17 281 N p31->p44->p17
7139.3000 M227 2000000 1 452.3000 p48 p39 292 N p48->p39
7142.0000 M242 2000000 1 4.0000 p31 p7 299 N p31->p7
7153.9000 M238 2000000 2 125.9000 p8 p3 297 N p8->p42->p3
7161.0000 M230 2000000 1 384.0000 p21 p27 293 N p21->p27
7167.0000 M243 2000000 1 4.0000 p5 p46 299 N p5->p46
7179.0000 M234 2000000 2 277.0000 p0 p45 295 N p0->p11->p45
7206.0000 M233 2000000 2 337.0000 p8 p11 294 N p8->p21->p11
7242.2000 M229 2000000 1 498.2000 p4 p1 291 N p4->p1
7263.0000 M246 2000000 1 4.0000 p6 p4 299 N p6->p4
7295.8000 M161 2000000 2 2575.8000 p25 p35 257 N p25->p41->p35
7313.0000 M248 2000000 1 4.0000 p16 p44 299 N p16->p44
