# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4195.9000 M125 4000000 2 517.9000 p5 p17 291 N p5->p8->p17
4203.9000 M108 4000000 3 1046.9000 p5 p17 282 N p5->p15->p8->p17
4209.4000 M131 4000000 2 357.4000 p26 p24 294 N p26->p44->p24
4249.7000 M129 4000000 1 452.7000 p43 p18 292 N p43->p18
4255.8000 M109 4000000 4 1068.8000 p5 p22 282 N p5->p8->p11->p3->p22
4259.6000 M93 4000000 4 1534.6000 p6 p27 274 N p6->p12->p32->p31->p27
4284.0000 M144 4000000 2 60.0000 p38 p43 299 N p38->p40->p43
4415.4000 M111 4000000 4 1171.4000 p4 p32 280 N p4->p21->p45->p0->p32
4483.9000 M138 4000000 1 432.9000 p7 p32 292 N p7->p32
4515.1000 M136 4000000 1 521.1000 p7 p36 291 N p7->p36
4520.1000 M135 4000000 3 554.1000 p36 p45 290 N p36->p2->p27->p45
4536.6000 M146 4000000 2 255.6000 p43 p3 295 N p43->p24->p3
4561.1000 M145 4000000 1 305.1000 p2 p13 294 N p2->p13
4576.7000 M130 4000000 2 750.7000 p16 p40 287 N p16->p19->p40
4636.7000 M147 4000000 3 321.7000 p30 p14 294 N p30->p47->p45->p14
4702.4000 M152 4000000 1 228.4000 p3 p38 296 N p3->p38
4750.2000 M155 4000000 1 197.2000 p36 p9 296 N p36->p9
4750.7000 M140 4000000 3 640.7000 p14 p4 289 N p14->p42->p40->p4
4755.5000 M124 4000000 2 1108.5000 p18 p25 281 N p18->p44->p25
4769.9000 M128 4000000 2 1000.9000 p18 p11 283 N p18->p38->p11
4826.2000 M151 4000000 1 384.2000 p22 p47 293 N p22->p47
4839.4000 M159 4000000 1 172.4000 p28 p40 297 N p28->p40
4870.3000 M153 4000000 1 370.3000 p12 p1 293 N p12->p1
4878.3000 M162 4000000 2 133.3000 p24 p12 297 N p24->p1->p12
4907.0000 M106 4000000 3 1809.0000 p24 p5 269 N p24->p46->p49->p5
4935.4000 M154 4000000 2 408.4000 p42 p43 293 N p42->p40->p43
4957.4000 M166 4000000 1 89.4000 p3 p24 298 N p3->p24
4976.6000 M148 4000000 2 631.6000 p0 p2 289 N p0->p28->p2
4984.6000 M117 4000000 2 1554.6000 p38 p2 274 N p38->p28->p2
4995.1000 M156 4000000 2 409.1000 p7 p24 293 N p7->p29->p24
5053.5000 M172 4000000 1 10.5000 p32 p26 299 N p32->p26
5089.4000 M157 4000000 1 478.4000 p3 p2 292 N p3->p2
5116.4000 M101 4000000 2 2163.4000 p34 p32 263 N p34->p19->p32
5157.5000 M150 4000000 2 749.5000 p42 p36 287 N p42->p38->p36
5202.9000 M170 4000000 1 217.9000 p16 p38 296 N p16->p38
5203.5000 M160 4000000 3 509.5000 p15 p12 291 N p15->p7->p29->p12
5209.8000 M143 4000000 2 1015.8000 p43 p22 283 N p43->p36->p22
5221.5000 M163 4000000 3 450.5000 p19 p30 292 N p19->p8->p2->p30
5253.6000 M178 4000000 1 18.6000 p36 p5 299 N p36->p5
5267.3000 M164 4000000 2 462.3000 p24 p33 292 N p24->p1->p33
5270.0000 M165 4000000 3 434.0000 p0 p13 292 N p0->p16->p10->p13
5302.3000 M167 4000000 2 401.3000 p44 p25 293 N p44->p1->p25
5310.3000 M142 4000000 3 1146.3000 p43 p25 280 N p43->p46->p1->p25
5377.4000 M137 4000000 1 1356.4000 p22 p29 277 N p22->p29
5404.4000 M177 4000000 2 199.4000 p31 p6 296 N p31->p46->p6
5448.3000 M174 4000000 5 338.3000 p17 p18 294 N p17->p4->p27->p16->p36->p18
5456.3000 M169 4000000 3 496.3000 p27 p18 291 N p27->p16->p36->p18
5511.3000 M132 4000000 3 1626.3000 p47 p37 272 N p47->p49->p2->p37
5525.9000 M161 4000000 3 805.9000 p25 p35 286 N p25->p3->p18->p35
5540.5000 M188 4000000 1 13.5000 p8 p34 299 N p8->p34
5555.8000 M149 4000000 2 1177.8000 p5 p20 280 N p5->p17->p20
5604.1000 M173 4000000 2 527.1000 p37 p21 291 N p37->p9->p21
5635.5000 M181 4000000 1 311.5000 p26 p10 294 N p26->p10
5661.2000 M179 4000000 2 395.2000 p12 p20 293 N p12->p18->p20
5667.6000 M182 4000000 1 318.6000 p29 p44 294 N p29->p44
5742.6000 M186 4000000 3 279.6000 p31 p23 295 N p31->p48->p41->p23
5748.1000 M185 4000000 3 314.1000 p24 p13 294 N p24->p37->p2->p13
5769.0000 M175 4000000 4 628.0000 p25 p43 289 N p25->p32->p12->p35->p43
5814.0000 M198 4000000 1 8.0000 p29 p18 299 N p29->p18
5817.2000 M158 4000000 2 1177.2000 p10 p45 280 N p10->p44->p45
5873.5000 M191 4000000 3 263.5000 p32 p3 295 N p32->p8->p18->p3
5886.8000 M199 4000000 2 50.8000 p40 p14 299 N p40->p11->p14
5931.6000 M194 4000000 1 238.6000 p33 p21 296 N p33->p21
5950.5000 M168 4000000 1 1021.5000 p5 p10 282 N p5->p10
5975.5000 M176 4000000 1 804.5000 p22 p3 286 N p22->p3
6006.8000 M171 4000000 3 996.8000 p8 p4 283 N p8->p34->p24->p4
6023.7000 M197 4000000 2 242.7000 p3 p32 295 N p3->p33->p32
6042.1000 M196 4000000 2 287.1000 p27 p2 295 N p27->p33->p2
6090.7000 M190 4000000 3 505.7000 p41 p38 291 N p41->p16->p45->p38
6098.8000 M201 4000000 3 195.8000 p22 p38 296 N p22->p29->p49->p38
6131.8000 M203 4000000 2 174.8000 p35 p2 297 N p35->p10->p2
6132.4000 M192 4000000 3 497.4000 p6 p32 291 N p6->p38->p42->p32
6146.9000 M189 4000000 3 590.9000 p33 p38 290 N p33->p23->p3->p38
6242.5000 M212 4000000 1 9.5000 p12 p40 299 N p12->p40
6271.3000 M206 4000000 3 230.3000 p15 p10 296 N p15->p19->p36->p10
6310.4000 M184 4000000 6 910.4000 p14 p48 284 N p14->p11->p26->p20->p27->p23->p48
6363.9000 M202 4000000 3 433.9000 p31 p17 292 N p31->p0->p15->p17
6465.7000 M215 4000000 2 145.7000 p12 p18 297 N p12->p48->p18
6498.7000 M209 4000000 2 360.7000 p21 p25 293 N p21->p29->p25
6504.9000 M200 4000000 1 634.9000 p28 p22 289 N p28->p22
6512.9000 M221 4000000 1 14.9000 p28 p6 299 N p28->p6
6526.8000 M205 4000000 2 511.8000 p1 p10 291 N p1->p30->p10
6556.3000 M220 4000000 2 92.3000 p27 p37 298 N p27->p23->p37
